created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Mon May 22 23:34:37 +0000 2023,1660791304912273408,"@detikcom G pendukung Ahok, tp klo disuruh milih antara 2 pilihan Prabowo or Anies, g mending milih Prabowo wkwkwk",0,0,0,0,in,1085072616799404032,1660493184210698240,tnov_oey,https://twitter.com/tnov_oey/status/1660791304912273408
Mon May 22 23:34:37 +0000 2023,1660791303855296512,"Kontestasi 2024, GP menjadi satu-satunya yang orang biasa dan birokrat tanpa dinasti (fisik).  Ini menarik.  Prabowo dari Cendana, Anies selalu membanggakan A.R Baswedan PAI (Partai Arab Indonesia).  GP dari rahim wong cilik lagi yang tidak ada dinasti. #pemikiran",0,0,0,0,in,92409882,1660791303855296512,hannysetiawan,https://twitter.com/hannysetiawan/status/1660791303855296512
Mon May 22 23:33:38 +0000 2023,1660791058366894080,"@KakekHalal arahan partai dukung ganjar, dalam hati kan prabowo",0,0,0,0,in,105166603,1660599508320030722,RoyDelvin,https://twitter.com/RoyDelvin/status/1660791058366894080
Mon May 22 23:33:14 +0000 2023,1660790955287654400,@Moch_herianto Nah gininih yang malah buat nama pak prabowo jelek. Tim2nya gak keren bgt sih '(,0,0,0,0,in,115967508,1660535160553771008,bobbykul13,https://twitter.com/bobbykul13/status/1660790955287654400
Mon May 22 23:32:10 +0000 2023,1660790688529928192,"@Kemhan_RI Prabowo sangat dekat dengan NU, sejak masih jadi Danjen Kopassus sudah sering berkegiatan dengan NU khususnya Ansor",0,0,0,0,in,1331560148834213888,1660305205521698817,SHALAHU83850986,https://twitter.com/SHALAHU83850986/status/1660790688529928192
Mon May 22 23:31:41 +0000 2023,1660790565846515712,@BBerizik @ganjarpranowo @prabowo kok kayak bibir cewek gitu?😅,0,1,0,0,in,1563278507567771649,1660526242473578496,rajasorituan,https://twitter.com/rajasorituan/status/1660790565846515712
Mon May 22 23:31:26 +0000 2023,1660790504722931712,"@SepadanM @Ndaxwz @prabowo @PDI_Perjuangan Bukan siapa siapa Brader , hanya seorang yg tadinya seorang diehard nya pendukung Ganjar , tetapi sekarang tidak lagi karena ternyata Ganjar tidak berani berdiri diatas semua aspirasi anak bangsa . Sesimpel itu Kamerad.",0,2,0,1,in,1366617421,1660637227523932160,tinggipasaribu,https://twitter.com/tinggipasaribu/status/1660790504722931712
Mon May 22 23:31:26 +0000 2023,1660790504383217664,@PartaiSocmed Prabowo -cak imin,0,0,0,0,in,1625886468135845888,1660159629584924674,TitiLina5,https://twitter.com/TitiLina5/status/1660790504383217664
Mon May 22 23:31:21 +0000 2023,1660790482463784960,"@Dennysiregar7 Mungkin kelurga bpk jokowi pada cinta bola  dan memimpin persepak bolaan di jateng, sedangkan ketum pdip dan gubernur jateng menolak piala dunia U22, bermaini di jateng, sehingga batal diselenggarakan di RI, oleh sebab itu keluarga pak Jokowi lebih simpatik ke bpk Prabowo",0,0,0,0,in,1617418130820825088,1660564137594740737,UdinNur47111137,https://twitter.com/UdinNur47111137/status/1660790482463784960
Mon May 22 23:31:04 +0000 2023,1660790410225274881,"@kompascom Setuju, mas @gibran_tweet kemungkinan besar udah dapet restu dari pak Jokowi dan kalkulasi sebelum ketemu pak Prabowo",0,0,0,0,in,145105148,1660783872748158976,yang_rajin,https://twitter.com/yang_rajin/status/1660790410225274881
